"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01-01","Brooklyn","2","LCL/LTD","B103","Off-Peak","3,076","3,768","81.63482%"
"2020-01-01","Brooklyn","2","LCL/LTD","B103","Peak","1,117","1,442","77.461857%"
"2020-01-01","Brooklyn","1","LCL/LTD","B11","Off-Peak","10,567","14,339","73.69412%"
"2020-01-01","Brooklyn","1","LCL/LTD","B11","Peak","4,587","7,005","65.4818%"
"2020-01-01","Brooklyn","2","LCL/LTD","B11","Off-Peak","3,843","5,370","71.564245%"
"2020-01-01","Brooklyn","2","LCL/LTD","B11","Peak","1,415","2,105","67.2209%"
"2020-01-01","Brooklyn","1","LCL/LTD","B12","Off-Peak","11,891","16,686","71.26334%"
"2020-01-01","Brooklyn","1","LCL/LTD","B12","Peak","4,394","7,020","62.59259%"
"2020-01-01","Brooklyn","2","LCL/LTD","B12","Off-Peak","4,849","6,481","74.8187%"
"2020-01-01","Brooklyn","2","LCL/LTD","B12","Peak","1,796","2,394","75.020885%"
"2020-01-01","Brooklyn","1","LCL/LTD","B13","Off-Peak","10,835","13,483","80.360454%"
"2020-01-01","Brooklyn","1","LCL/LTD","B13","Peak","4,959","7,247","68.428314%"
"2020-01-01","Brooklyn","2","LCL/LTD","B13","Off-Peak","3,728","4,569","81.593347%"
"2020-01-01","Brooklyn","2","LCL/LTD","B13","Peak","1,306","1,683","77.599525%"
"2020-01-01","Brooklyn","1","LCL/LTD","B14","Off-Peak","8,825","11,512","76.659137%"
"2020-01-01","Brooklyn","1","LCL/LTD","B14","Peak","3,529","5,363","65.802723%"
"2020-01-01","Brooklyn","2","LCL/LTD","B14","Off-Peak","3,412","4,351","78.418756%"
"2020-01-01","Brooklyn","2","LCL/LTD","B14","Peak","1,201","1,723","69.704%"
"2020-01-01","Brooklyn","1","LCL/LTD","B15","Off-Peak","21,718","29,452","73.74032%"
"2020-01-01","Brooklyn","1","LCL/LTD","B15","Peak","6,271","10,225","61.330074%"
"2020-01-01","Brooklyn","2","LCL/LTD","B15","Off-Peak","10,389","13,790","75.3372%"
"2020-01-01","Brooklyn","2","LCL/LTD","B15","Peak","2,887","4,140","69.7343%"
"2020-01-01","Brooklyn","1","LCL/LTD","B16","Off-Peak","10,607","13,575","78.13628%"
"2020-01-01","Brooklyn","1","LCL/LTD","B16","Peak","5,487","8,004","68.55322%"
"2020-01-01","Brooklyn","2","LCL/LTD","B16","Off-Peak","4,540","5,853","77.56706%"
"2020-01-01","Brooklyn","2","LCL/LTD","B16","Peak","1,669","2,223","75.07872%"
"2020-01-01","Brooklyn","1","LCL/LTD","B17","Off-Peak","11,002","13,220","83.22239%"
